Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,90041,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,81,DR,Demand Response,TX,40,175337,,0,,8708,,259304,,0,,443349,,0,
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,90041,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,81,MB,Bus,DO,36,16280270,,5145670,,732593,,9281883,,0,,31440416,,0,
"City of Gardena, dba: GTrans",Gardena,CA,90042,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,29,DR,Demand Response,DO,4,410706,,96882,,13947,,187037,,0,,708572,,0,
"City of Gardena, dba: GTrans",Gardena,CA,90042,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,29,MB,Bus,DO,25,12588786,,2950590,,680976,,7871303,,0,,24091655,,0,
"City of Commerce, dba: City of Commerce Transit",Commerce,CA,90043,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,14,DR,Demand Response,DO,4,1073624,,208044,,57085,,87867,,0,,1426620,,0,
"City of Commerce, dba: City of Commerce Transit",Commerce,CA,90043,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,14,MB,Bus,DO,10,4973760,,1341563,,364899,,520040,,0,,7200262,,0,
"City of Arcadia, dba: Arcadia Transit",Arcadia,CA,90044,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,14,DR,Demand Response,PT,8,0,,0,,0,,0,,1157215,,1157215,,0,
"City of Arcadia, dba: Arcadia Transit",Arcadia,CA,90044,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,14,MB,Bus,PT,6,0,,0,,0,,0,,1467996,,1467996,,0,
Regional Transportation Commission of Southern Nevada,Las Vegas,NV,90045,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,47995,"Las Vegas--Henderson--Paradise, NV",2196623,663,DR,Demand Response,PT,383,42468439,,9767816,,3300970,,32780182,,0,,88317407,,0,
Regional Transportation Commission of Southern Nevada,Las Vegas,NV,90045,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,47995,"Las Vegas--Henderson--Paradise, NV",2196623,663,MB,Bus,PT,280,114220932,,40707730,,10111494,,76987733,,0,,242027889,,0,
"City of Simi Valley, dba: Simi Valley Transit",Simi Valley,CA,90050,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,82144,"Simi Valley, CA",127364,15,DR,Demand Response,DO,9,0,,0,,0,,0,,2812532,,2812532,,0,
"City of Simi Valley, dba: Simi Valley Transit",Simi Valley,CA,90050,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,82144,"Simi Valley, CA",127364,15,MB,Bus,DO,6,0,,0,,0,,0,,5897916,,5897916,,0,
City of Corona,Corona,CA,90052,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,75340,"Riverside--San Bernardino, CA",2276703,11,DR,Demand Response,PT,6,0,,0,,0,,0,,1494087,,1494087,,0,
City of Corona,Corona,CA,90052,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,75340,"Riverside--San Bernardino, CA",2276703,11,MB,Bus,PT,5,0,,0,,0,,0,,1372830,,1372830,,0,
Yuba-Sutter Transit Authority,Marysville,CA,90061,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2024,97939,"Yuba City, CA",125706,29,CB,Commuter Bus,PT,7,0,,0,,0,,0,,1256613,,1256613,,0,
Yuba-Sutter Transit Authority,Marysville,CA,90061,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2024,97939,"Yuba City, CA",125706,29,DR,Demand Response,PT,10,0,,0,,0,,0,,2432105,,2432105,,0,
Yuba-Sutter Transit Authority,Marysville,CA,90061,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2024,97939,"Yuba City, CA",125706,29,MB,Bus,PT,12,0,,0,,0,,0,,4874682,,4874682,,0,
Monterey-Salinas Transit,Monterey,CA,90062,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80362,"Seaside--Monterey--Pacific Grove, CA",123495,165,DR,Demand Response,PT,27,3927352,,701401,,87479,,1182385,,0,,5898617,,0,
Monterey-Salinas Transit,Monterey,CA,90062,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80362,"Seaside--Monterey--Pacific Grove, CA",123495,165,DR,Demand Response,TX,46,592249,,126402,,20275,,276535,,0,,1015461,,0,
Monterey-Salinas Transit,Monterey,CA,90062,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80362,"Seaside--Monterey--Pacific Grove, CA",123495,165,MB,Bus,DO,48,19227137,,6444399,,1189986,,11707230,,0,,38568752,,0,
Monterey-Salinas Transit,Monterey,CA,90062,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80362,"Seaside--Monterey--Pacific Grove, CA",123495,165,MB,Bus,PT,18,3282351,,600830,,209448,,916768,,0,,5009397,,0,
Monterey-Salinas Transit,Monterey,CA,90062,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,80362,"Seaside--Monterey--Pacific Grove, CA",123495,165,VP,Vanpool,PT,26,147827,,15348,,3901,,199098,,0,,366174,,0,
"Central Contra Costa Transit Authority, dba: County Connection",Concord,CA,90078,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,19504,"Concord--Walnut Creek, CA",538583,136,DR,Demand Response,PT,60,7513096,,314694,,206311,,1968529,,0,,10002630,,0,
"Central Contra Costa Transit Authority, dba: County Connection",Concord,CA,90078,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,19504,"Concord--Walnut Creek, CA",538583,136,MB,Bus,DO,76,20657177,,5138759,,932724,,9644962,,0,,36373622,,0,
"SunLine Transit Agency, dba: SunLine",Thousand Palms,CA,90079,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,41347,"Indio--Palm Desert--Palm Springs, CA",361075,89,DR,Demand Response,DO,25,4662219,,1185538,,295573,,1103850,,0,,7247180,,0,
"SunLine Transit Agency, dba: SunLine",Thousand Palms,CA,90079,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,41347,"Indio--Palm Desert--Palm Springs, CA",361075,89,DR,Demand Response,PT,10,431784,,123126,,22568,,360754,,0,,938232,,0,
"SunLine Transit Agency, dba: SunLine",Thousand Palms,CA,90079,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,41347,"Indio--Palm Desert--Palm Springs, CA",361075,89,MB,Bus,DO,47,15341816,,6406011,,1419747,,15180878,,0,,38348452,,0,
"SunLine Transit Agency, dba: SunLine",Thousand Palms,CA,90079,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,41347,"Indio--Palm Desert--Palm Springs, CA",361075,89,VP,Vanpool,PT,7,53196,,5861,,2269,,72321,,0,,133647,,0,
"City of Riverside, dba: Riverside Connect",Riverside,CA,90086,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,75340,"Riverside--San Bernardino, CA",2276703,21,DR,Demand Response,DO,21,2937678,,524703,,8394,,1827507,,0,,5298282,,0,
"City of Santa Maria, dba: Santa Maria Regional Transit",Santa Maria,CA,90087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,79417,"Santa Maria, CA",143609,25,DR,Demand Response,PT,4,255965,,50376,,14280,,71406,,0,,392027,,0,
"City of Santa Maria, dba: Santa Maria Regional Transit",Santa Maria,CA,90087,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,79417,"Santa Maria, CA",143609,25,MB,Bus,PT,21,4213461,,890979,,271565,,1919355,,0,,7295360,,0,
Napa Valley Transportation Authority,Napa,CA,90088,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,61057,"Napa, CA",84619,48,CB,Commuter Bus,PT,10,1502983,,241675,,39862,,164216,,0,,1948736,,0,
Napa Valley Transportation Authority,Napa,CA,90088,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,61057,"Napa, CA",84619,48,DR,Demand Response,PT,17,2750329,,358960,,28956,,505912,,0,,3644157,,0,
Napa Valley Transportation Authority,Napa,CA,90088,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,61057,"Napa, CA",84619,48,MB,Bus,PT,21,7456120,,471655,,107893,,1410789,,0,,9446457,,0,
"County of Sonoma, dba: Sonoma County Transit",Santa Rosa,CA,90089,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,79498,"Santa Rosa, CA",297329,56,DR,Demand Response,PT,21,2513989,,468734,,115510,,806803,,0,,3905036,,0,
"County of Sonoma, dba: Sonoma County Transit",Santa Rosa,CA,90089,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,79498,"Santa Rosa, CA",297329,56,MB,Bus,PT,35,9408486,,3177662,,702981,,2698543,,0,,15987672,,0,
Yolo County Transportation District,Woodland,CA,90090,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,77068,"Sacramento, CA",1946618,44,DR,Demand Response,PT,12,2134634,,654905,,40654,,946961,,0,,3777154,,0,
Yolo County Transportation District,Woodland,CA,90090,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,77068,"Sacramento, CA",1946618,44,MB,Bus,PT,32,5986429,,2417334,,462373,,4867068,,0,,13733204,,0,
"City of Visalia, dba: Visalia Transit",Visalia,CA,90091,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,90946,"Visalia, CA",160578,37,CB,Commuter Bus,PT,3,577711,,87158,,14466,,152989,,0,,832324,,0,
"City of Visalia, dba: Visalia Transit",Visalia,CA,90091,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,90946,"Visalia, CA",160578,37,DR,Demand Response,PT,8,1054525,,126322,,25745,,435884,,0,,1642476,,0,
"City of Visalia, dba: Visalia Transit",Visalia,CA,90091,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,90946,"Visalia, CA",160578,37,MB,Bus,PT,26,7360219,,1135970,,229169,,3319465,,0,,12044823,,0,
"City of Fairfield, California, dba: FAST Transit",Fairfield,CA,90092,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,28657,"Fairfield, CA",150122,22,DR,Demand Response,PT,10,1390126,,517892,,47953,,1465123,,0,,3421094,,0,
"City of Fairfield, California, dba: FAST Transit",Fairfield,CA,90092,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,28657,"Fairfield, CA",150122,22,MB,Bus,PT,12,2333075,,1704075,,473839,,2525004,,0,,7035993,,0,
Redding Area Bus Authority,Redding,CA,90093,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2024,73774,"Redding, CA",120602,23,DR,Demand Response,PT,8,0,,0,,0,,0,,1714010,,1714010,,0,
Redding Area Bus Authority,Redding,CA,90093,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2024,73774,"Redding, CA",120602,23,MB,Bus,PT,13,0,,0,,0,,0,,5992908,,5992908,,0,
Redding Area Bus Authority,Redding,CA,90093,Independent Public Agency or Authority of Transit Service,Reduced Reporter,2024,73774,"Redding, CA",120602,23,VP,Vanpool,PT,2,0,,0,,0,,0,,8528,,8528,,0,
"Metropolitan Transportation Commission, dba: MTC",San Francisco,CA,90094,"MPO, COG or Other Planning Agency",Full Reporter,2024,78904,"San Francisco--Oakland, CA",3515933,562,VP,Vanpool,PT,562,3495490,,377570,,27660,,4747621,,0,,8648341,,0,
"San Diego Association of Governments, dba: SANDAG",San Diego,CA,90095,"MPO, COG or Other Planning Agency",Full Reporter,2024,78661,"San Diego, CA",3070300,395,VP,Vanpool,PT,395,496319,,742909,,15652,,3413615,,0,,4668495,,0,
"City of Laguna Beach, dba: Laguna Beach Transit",Laguna Beach,CA,90119,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,57709,"Mission Viejo--Lake Forest--Laguna Niguel, CA",646843,24,DR,Demand Response,PT,6,0,,0,,0,,0,,1415272,,1415272,,0,
"City of Laguna Beach, dba: Laguna Beach Transit",Laguna Beach,CA,90119,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,57709,"Mission Viejo--Lake Forest--Laguna Niguel, CA",646843,24,MB,Bus,PT,18,0,,0,,0,,0,,3519397,,3519397,,0,
Antelope Valley Transit Authority,Lancaster,CA,90121,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,67140,"Palmdale--Lancaster, CA",359559,88,CB,Commuter Bus,PT,20,1980218,,444377,,52050,,1494459,,0,,3971104,,0,
Antelope Valley Transit Authority,Lancaster,CA,90121,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,67140,"Palmdale--Lancaster, CA",359559,88,DR,Demand Response,PT,20,1456046,,239780,,494051,,2616405,,0,,4806282,,0,
Antelope Valley Transit Authority,Lancaster,CA,90121,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,67140,"Palmdale--Lancaster, CA",359559,88,MB,Bus,PT,48,10783870,,2925373,,347807,,9783911,,0,,23840961,,0,
"City of Scottsdale, dba: Scottsdale Trolley",Scottsdale,AZ,90131,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,69184,"Phoenix--Mesa--Scottsdale, AZ",3976313,12,MB,Bus,PT,12,1969799,,711320,,90653,,1139459,,0,,3911231,,0,
"Peninsula Corridor Joint Powers Board, dba: Caltrain",San Carlos,CA,90134,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,78904,"San Francisco--Oakland, CA",3515933,72,CR,Commuter Rail,PT,72,71802702,,32653869,,30776453,,57504592,,0,,192737616,,0,
"Regional Public Transportation Authority, dba: Valley Metro",Phoenix,AZ,90136,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,69184,"Phoenix--Mesa--Scottsdale, AZ",3976313,788,DR,Demand Response,PT,84,12783620,,1625861,,226448,,8636659,,0,,23272588,,0,
"Regional Public Transportation Authority, dba: Valley Metro",Phoenix,AZ,90136,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,69184,"Phoenix--Mesa--Scottsdale, AZ",3976313,788,DR,Demand Response,TX,175,2833007,,402129,,56008,,1966924,,0,,5258068,,0,
"Regional Public Transportation Authority, dba: Valley Metro",Phoenix,AZ,90136,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,69184,"Phoenix--Mesa--Scottsdale, AZ",3976313,788,MB,Bus,PT,290,69479547,,23246874,,3541052,,37717936,,0,,133985409,,0,
"Regional Public Transportation Authority, dba: Valley Metro",Phoenix,AZ,90136,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,69184,"Phoenix--Mesa--Scottsdale, AZ",3976313,788,VP,Vanpool,PT,239,1758309,,197322,,882,,2315992,,0,,4272505,,0,
City of Peoria,Peoria,AZ,90140,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,69184,"Phoenix--Mesa--Scottsdale, AZ",3976313,7,DR,Demand Response,DO,7,582479,,33850,,31373,,847255,,0,,1494957,,0,
"University of California, Davis, dba: Unitrans",Davis,CA,90142,University,Full Reporter,2024,22420,"Davis, CA",77034,29,MB,Bus,DO,29,5648112,,2058602,,285881,,1198083,,0,,9190678,,0,
Livermore / Amador Valley Transit Authority,Livermore,CA,90144,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,50533,"Livermore--Pleasanton--Dublin, CA",240381,49,DR,Demand Response,PT,,0,,0,,12425,,283903,,0,,296328,,1734717,
Livermore / Amador Valley Transit Authority,Livermore,CA,90144,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,50533,"Livermore--Pleasanton--Dublin, CA",240381,49,MB,Bus,PT,49,6800534,,1790346,,953141,,9276649,,0,,18820670,,0,
Foothill Transit,West Covina,CA,90146,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,303,MB,Bus,PT,303,75927881,,25581467,,2489589,,31126539,,0,,135125476,,0,
City of Los Angeles,Los Angeles,CA,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,389,CB,Commuter Bus,PT,110,10918432,,4969822,,402423,,5697639,,0,,21988316,,0,
City of Los Angeles,Los Angeles,CA,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,389,DR,Demand Response,PT,84,6435256,,2101021,,692965,,5021568,,0,,14250810,,0,
City of Los Angeles,Los Angeles,CA,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,389,DR,Demand Response,TX,9,193592,,93996,,24169,,1555453,,0,,1867210,,0,
City of Los Angeles,Los Angeles,CA,90147,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,389,MB,Bus,PT,186,44175268,,18607794,,2742015,,25668747,,0,,91193824,,0,
Victor Valley Transit Authority,Hesperia,CA,90148,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,90541,"Victorville--Hesperia--Apple Valley, CA",355816,304,CB,Commuter Bus,PT,6,685886,,219607,,22395,,220391,,0,,1148279,,0,
Victor Valley Transit Authority,Hesperia,CA,90148,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,90541,"Victorville--Hesperia--Apple Valley, CA",355816,304,DR,Demand Response,PT,42,4219734,,1376575,,161254,,1915143,,0,,7672706,,0,
Victor Valley Transit Authority,Hesperia,CA,90148,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,90541,"Victorville--Hesperia--Apple Valley, CA",355816,304,MB,Bus,PT,47,16864285,,3458201,,461811,,6082498,,0,,26866795,,0,
Victor Valley Transit Authority,Hesperia,CA,90148,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,90541,"Victorville--Hesperia--Apple Valley, CA",355816,304,VP,Vanpool,PT,209,84451,,268964,,12703,,2643802,,0,,3009920,,0,
"City of Lompoc, dba: City of Lompoc Transit",Lompoc,CA,90149,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,51040,"Lompoc, CA",54287,10,DR,Demand Response,PT,2,0,,0,,0,,0,,853939,,853939,,0,
"City of Lompoc, dba: City of Lompoc Transit",Lompoc,CA,90149,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,51040,"Lompoc, CA",54287,10,MB,Bus,PT,8,0,,0,,0,,0,,1883441,,1883441,,0,
"Southern California Regional Rail Authority, dba: Metrolink",Los Angeles,CA,90151,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,195,CR,Commuter Rail,PT,195,104464388,,49569067,,55064834,,100115819,,0,,309214108,,0,
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2722,DR,Demand Response,DO,66,21350418,,1373381,,929162,,1058210,,0,,24711171,,0,
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2722,HR,Heavy Rail,DO,52,117135741,,40160856,,57620488,,31435055,,0,,246352140,,0,
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2722,LR,Light Rail,DO,199,350051660,,89778256,,103643070,,84171437,,0,,627644423,,0,
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2722,MB,Bus,DO,1476,783974325,,285258037,,60588964,,276648864,,0,,1406470190,,0,
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2722,MB,Bus,PT,107,40846774,,13042839,,3328059,,16719024,,0,,73936696,,0,
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2722,RB,Bus Rapid Transit,DO,24,19387672,,784002,,4735628,,2773341,,0,,27680643,,0,
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,2722,VP,Vanpool,PT,798,4363764,,931786,,119606,,6145292,,0,,11560448,,0,
"City of Vacaville, dba: City Coach",Vacaville,CA,90155,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,89866,"Vacaville, CA",101027,14,DR,Demand Response,PT,3,0,,0,,0,,0,,875855,,875855,,0,
"City of Vacaville, dba: City Coach",Vacaville,CA,90155,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,89866,"Vacaville, CA",101027,14,MB,Bus,PT,11,0,,0,,0,,0,,2158093,,2158093,,0,
"City of San Luis Obispo, dba: SLO Transit",San Luis Obispo,CA,90156,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,79147,"San Luis Obispo, CA",56904,18,MB,Bus,PT,18,1981130,,270443,,94232,,2082749,,0,,4428554,,0,
Access Services,El Monte,CA,90157,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,1047,DR,Demand Response,PT,696,92896936,,14384130,,1629269,,56550467,,0,,165460802,,2022873,
Access Services,El Monte,CA,90157,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,1047,DR,Demand Response,TX,351,46360647,,7176271,,812294,,28027078,,0,,82376290,,0,
"Western Contra Costa Transit Authority, dba: WestCAT",Pinole,CA,90159,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,78904,"San Francisco--Oakland, CA",3515933,33,CB,Commuter Bus,PT,7,1726717,,440803,,70355,,382286,,0,,2620161,,0,
"Western Contra Costa Transit Authority, dba: WestCAT",Pinole,CA,90159,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,78904,"San Francisco--Oakland, CA",3515933,33,DR,Demand Response,PT,5,1163304,,205287,,57852,,314347,,0,,1740790,,0,
"Western Contra Costa Transit Authority, dba: WestCAT",Pinole,CA,90159,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,78904,"San Francisco--Oakland, CA",3515933,33,MB,Bus,PT,21,6767361,,1400649,,313937,,1705827,,0,,10187774,,0,
"City of Union City, dba: Union City Transit",Union City,CA,90161,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,78904,"San Francisco--Oakland, CA",3515933,21,DR,Demand Response,PT,7,0,,0,,0,,0,,1724175,,1724175,,0,
"City of Union City, dba: Union City Transit",Union City,CA,90161,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,78904,"San Francisco--Oakland, CA",3515933,21,MB,Bus,PT,14,0,,0,,0,,0,,6271881,,6271881,,0,
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,90162,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,02683,"Antioch, CA",326205,97,DR,Demand Response,PT,36,6854073,,411469,,119456,,1280559,,0,,8665557,,0,
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,90162,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,02683,"Antioch, CA",326205,97,DR,Demand Response,TN,11,372163,,23554,,11608,,194719,,0,,602044,,0,
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",Antioch,CA,90162,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,02683,"Antioch, CA",326205,97,MB,Bus,PT,50,13063886,,4505558,,277441,,6317372,,0,,24164257,,0,
"City of Camarillo, dba: Camarillo Area Transit",Camarillo,CA,90163,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,12754,"Camarillo, CA",76338,18,DR,Demand Response,PT,16,0,,0,,0,,0,,2324837,,2324837,,0,
"City of Camarillo, dba: Camarillo Area Transit",Camarillo,CA,90163,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,12754,"Camarillo, CA",76338,18,MB,Bus,PT,2,0,,0,,0,,0,,748059,,748059,,0,
Ventura County Transportation Commission,Camarillo,CA,90164,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,66673,"Oxnard--San Buenaventura (Ventura), CA",376117,42,CB,Commuter Bus,PT,27,5702811,,1100951,,418008,,2093721,,0,,9315491,,0,
Ventura County Transportation Commission,Camarillo,CA,90164,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,66673,"Oxnard--San Buenaventura (Ventura), CA",376117,42,DR,Demand Response,PT,10,709404,,20733,,128949,,639424,,0,,1498510,,0,
Ventura County Transportation Commission,Camarillo,CA,90164,Independent Public Agency or Authority of Transit Service,Full Reporter,2024,66673,"Oxnard--San Buenaventura (Ventura), CA",376117,42,MB,Bus,PT,5,284627,,165618,,7092,,246534,,0,,703871,,0,
"City of Thousand Oaks, dba: Thousand Oaks Transit",Thousand Oaks,CA,90165,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,87490,"Thousand Oaks, CA",213986,21,DR,Demand Response,PT,13,0,,0,,0,,0,,3167388,,3167388,,0,
"City of Thousand Oaks, dba: Thousand Oaks Transit",Thousand Oaks,CA,90165,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,87490,"Thousand Oaks, CA",213986,21,MB,Bus,PT,8,0,,0,,0,,0,,4129768,,4129768,,0,
"City of Davis, dba: Davis Community Transit",Davis,CA,90167,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,22420,"Davis, CA",77034,3,DR,Demand Response,DO,3,0,,0,,0,,0,,713903,,713903,,0,
City of Roseville,Roseville,CA,90168,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,77068,"Sacramento, CA",1946618,24,CB,Commuter Bus,PT,8,0,,0,,0,,0,,1014607,,1014607,,0,
City of Roseville,Roseville,CA,90168,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,77068,"Sacramento, CA",1946618,24,DR,Demand Response,PT,6,0,,0,,0,,0,,1581919,,1581919,,0,
City of Roseville,Roseville,CA,90168,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2024,77068,"Sacramento, CA",1946618,24,MB,Bus,PT,10,0,,0,,0,,0,,4835880,,4835880,,0,
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,90171,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2024,79309,"Santa Clarita, CA",278031,88,CB,Commuter Bus,PT,22,1575672,,384395,,202193,,1034882,,0,,3197142,,0,
