Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
Southwest Iowa Planning Council /SW Iowa Transit,Atlantic,IA,70258,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,67,DR,Demand Response,DO,67,0,,0,,0,,0,,4262904,,4262904,,0,
County of Maui,Wailuku,HI,90241,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,43615,"Kahului--Wailuku, HI",57905,67,DR,Demand Response,PT,44,6188439,,1578435,,308012,,930733,,0,,9005619,,0,
Area Transportation Authority of North Central PA,Johnsonburg,PA,30196,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,67,DR,Demand Response,DO,36,0,,0,,0,,0,,4713659,,4713659,,0,
Area Transportation Authority of North Central PA,Johnsonburg,PA,30196,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,67,MB,Bus,DO,28,0,,0,,0,,0,,4672325,,4672325,,0,
County of Maui,Wailuku,HI,90241,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,43615,"Kahului--Wailuku, HI",57905,67,MB,Bus,PT,16,3729152,,3569974,,63695,,667578,,0,,8030399,,0,
County of Maui,Wailuku,HI,90241,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,43615,"Kahului--Wailuku, HI",57905,67,CB,Commuter Bus,PT,7,879228,,354997,,5309,,69644,,0,,1309178,,0,
Area Transportation Authority of North Central PA,Johnsonburg,PA,30196,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,67,VP,Vanpool,DO,3,0,,0,,0,,0,,7512,,7512,,0,
"University of Georgia, dba: University of Georgia Transit System",Athens,GA,40180,University,Full Reporter,2022,03763,"Athens-Clarke County, GA",143213,66,MB,Bus,DO,58,3743037,,1150513,,147425,,1226870,,0,,6267845,,0,
Capital Area Transit System,Baton Rouge,LA,60022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,05680,"Baton Rouge, LA",631326,66,MB,Bus,DO,44,15549132,,5642921,,1794199,,9033954,,0,,32020206,,0,
Seneca Nation of Indians,Salamanca,NY,22929,Tribe,Reduced Reporter,2022,00036,New York Non-UZA,3425270,2,MB,Bus,PT,2,0,,0,,0,,0,,885844,,885844,,0,
Central County Transportation Authority,Kalamazoo,MI,50035,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,43723,"Kalamazoo, MI",204562,66,DR,Demand Response,PT,41,3479793,,336218,,156028,,1847056,,0,,5819095,,0,
Stark Area Regional Transit Authority,Canton,OH,50011,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,13375,"Canton, OH",295319,66,MB,Bus,DO,36,9921295,,3052343,,628567,,4357390,,0,,17959595,,0,
Stark Area Regional Transit Authority,Canton,OH,50011,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,13375,"Canton, OH",295319,66,DR,Demand Response,DO,30,5612618,,1601992,,473808,,2137237,,0,,9825655,,0,
Central County Transportation Authority,Kalamazoo,MI,50035,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,43723,"Kalamazoo, MI",204562,66,MB,Bus,DO,25,7151355,,2752181,,229478,,1740836,,0,,11873850,,0,
Capital Area Transit System,Baton Rouge,LA,60022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,05680,"Baton Rouge, LA",631326,66,DR,Demand Response,PT,22,1503710,,520843,,47049,,1853581,,0,,3925183,,0,
"University of Georgia, dba: University of Georgia Transit System",Athens,GA,40180,University,Full Reporter,2022,03763,"Athens-Clarke County, GA",143213,66,DR,Demand Response,DO,8,312370,,48681,,8428,,78120,,0,,447599,,0,
Southeast Tennessee Human Resource Agency-Rural Division,Dunlap,TN,40989,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,65,DR,Demand Response,DO,64,0,,0,,0,,0,,4383892,,4383892,,0,
